sn,slot,port,ont_id,isonline,olt
444753542140AF37, 3,6,0,1,Huawei
444753542140B5B4, 3,6,1,0,Huawei
444753542140BA97, 3,6,2,1,Huawei
48575443AA81E6A3, 3,6,3,1,Huawei
444753542140BC2C, 3,6,4,1,Huawei
444753542140C471, 3,6,5,1,Huawei
444753542140BA92, 3,6,6,1,Huawei
44475354214135C7, 3,6,7,1,Huawei
444753542140C478, 3,6,8,1,Huawei
444753542140A9BB, 3,6,9,1,Huawei
4447535421414D1C, 3,6,10,1,Huawei
444753542150389D, 3,6,11,1,Huawei
44475354215040A4, 3,6,12,1,Huawei
444753542140A821, 3,6,13,1,Huawei
444753542140B7F3, 3,6,14,1,Huawei
444753542140BA95, 3,6,15,1,Huawei
444753542140BE13, 3,6,16,1,Huawei
444753542140B58C, 3,6,17,1,Huawei
444753542140BC32, 3,6,18,1,Huawei
4447535421503ADE, 3,6,19,1,Huawei
48575443B4D7B4A3, 3,6,20,1,Huawei
444753542140BED6, 3,6,21,0,Huawei
4447535421503E2B, 3,6,22,1,Huawei
444753542140FDDF, 3,6,23,1,Huawei
485754431A7604A4, 3,6,24,1,Huawei
444753542140BA8F, 3,6,25,1,Huawei
444753542140B4E6, 3,6,26,0,Huawei
444753542140B63F, 3,6,27,1,Huawei
444753542140B4F6, 3,6,28,1,Huawei
444753542140BA96, 3,6,29,1,Huawei
444753542140B591, 3,6,30,0,Huawei
485754431966EC9F, 3,6,31,0,Huawei
444753542140BAB9, 3,6,32,1,Huawei
444753542140A9AF, 3,6,33,1,Huawei
444753542140B160, 3,6,34,1,Huawei
444753542140BAD4, 3,6,35,1,Huawei
4447535421502B12, 3,6,36,1,Huawei
44475354214117D3, 3,6,37,0,Huawei
4447535421504C5D, 3,6,38,1,Huawei
48575443C9CDC59F, 3,6,39,0,Huawei
4447535421412FA0, 3,6,40,1,Huawei
4447535421414CF6, 3,6,41,0,Huawei
4447535421503A8D, 3,6,42,1,Huawei
4447535421414F59, 3,6,43,1,Huawei
444753542140A99F, 3,6,44,1,Huawei
444753542140BB2E, 3,6,45,1,Huawei
444753542140B9A8, 3,6,46,1,Huawei
44475354214124EC, 3,6,47,1,Huawei
444753542140B64D, 3,6,48,1,Huawei
444753542140AA40, 3,6,49,1,Huawei
44475354214117C3, 3,6,50,1,Huawei
44475354215033E8, 3,6,51,1,Huawei
485754437C8AE29D, 3,6,52,1,Huawei
4447535421413DEC, 3,6,53,1,Huawei
4447535421414C87, 3,6,54,1,Huawei
44475354214112DB, 3,6,55,1,Huawei
44475354214117BE, 3,6,56,1,Huawei
44475354214117E8, 3,6,57,1,Huawei
44475354214117A6, 3,6,58,0,Huawei
44475354214117E1, 3,6,59,1,Huawei
4447535421410FFD, 3,6,60,1,Huawei
5A544547C4B21BFF, 3,6,61,1,Huawei
444753542141105A, 3,6,62,1,Huawei
5A544547C4B1F70E, 3,6,63,1,Huawei
44475354214117FC, 3,6,64,1,Huawei
44475354214117EC, 3,6,65,1,Huawei
4447535421411802, 3,6,66,1,Huawei
444753542141101A, 3,6,67,1,Huawei
44475354214114FE, 3,6,68,1,Huawei
4447535421410FE9, 3,6,69,1,Huawei
485754438C8D089E, 3,6,70,1,Huawei
4447535421410FD9, 3,6,71,1,Huawei
485754431B0344A4, 3,6,72,0,Huawei
4447535421410FE4, 3,6,73,1,Huawei
4447535421411395, 3,6,74,1,Huawei
5A544547C4B25362, 3,6,75,1,Huawei
485754431B8DEEA4, 3,6,76,1,Huawei
4447535421418E1E, 3,6,77,1,Huawei
4447535421414865, 3,6,78,1,Huawei
5A544547C8EC35C4, 3,6,79,1,Huawei
48575443AA7056A3, 3,6,80,1,Huawei
444753542141150D, 3,6,81,1,Huawei
5A544547C4B1F711, 3,6,82,1,Huawei
4447535421412BF0, 3,6,83,1,Huawei
48575443BDBD9A9F, 3,6,84,1,Huawei
48575443F385619B, 3,6,85,1,Huawei
444753542140BB96, 3,6,86,1,Huawei
444753542140BD00, 3,6,87,1,Huawei
444753542140BBBF, 3,6,88,1,Huawei
444753542140BD02, 3,6,89,1,Huawei
44475354214117DC, 3,6,90,1,Huawei
48575443152CA59F, 3,6,91,1,Huawei
44475354214117E6, 3,6,92,1,Huawei
485754431B06ACA4, 3,6,93,0,Huawei
4447535421411797, 3,6,94,1,Huawei
4447535421410FC6, 3,6,95,1,Huawei
44475354214117AF, 3,6,96,1,Huawei
485754431B064CA4, 3,6,97,1,Huawei
4447535421411BEB, 3,6,98,1,Huawei
4447535421411812, 3,6,99,1,Huawei
444753542141179E, 3,6,100,1,Huawei
44475354214117D7, 3,6,101,1,Huawei
485754431B032DA4, 3,6,102,1,Huawei
4447535421411509, 3,6,103,1,Huawei
485754431B06C4A4, 3,6,104,1,Huawei
44475354214112A3, 3,6,105,0,Huawei
444753542140BCFB, 3,6,106,1,Huawei
5A544547C8EBCE62, 3,6,107,1,Huawei
44475354214117A4, 3,6,108,1,Huawei
HWTCDAFD889B,1,1,1,1,ZTE
ZTEGC8EBF14B,1,1,2,0,ZTE
DE20B3D88152,1,1,4,1,ZTE
DE20B3D86A98,1,1,5,1,ZTE
DE20B3DB25A4,1,1,6,1,ZTE
DE20B3DB258C,1,1,7,1,ZTE
ZTEGC4B3CC79,1,1,8,0,ZTE
DE20B3D86AA6,1,1,9,1,ZTE
ZTEGC4B79EC6,1,1,10,0,ZTE
ZTEGC4B3CC95,1,1,12,0,ZTE
HWTCDB02F19B,1,1,14,0,ZTE
ZTEGC4B3CCB4,1,1,16,0,ZTE
ZTEGC4B7BC2D,1,1,20,0,ZTE
HWTCDB03719B,1,1,24,0,ZTE
HWTCE7DB449B,1,1,28,0,ZTE
ZTEGC4B3855D,1,1,31,0,ZTE
DE20B3DB25D4,1,1,33,0,ZTE
ZTEGC4B3CC88,1,1,34,1,ZTE
ZTEGC4B3AE1E,1,1,35,0,ZTE
MONU0057F649,1,1,37,0,ZTE
HWTC870CDE9D,1,1,41,0,ZTE
HWTC8713509D,1,1,43,0,ZTE
HWTC8148CE9D,1,1,44,0,ZTE
HWTCF3857A9B,1,1,45,0,ZTE
HWTC83AD4D9D,1,1,46,0,ZTE
HWTC779DC29E,1,1,47,0,ZTE
ZTEGC8D5F953,1,1,48,0,ZTE
HWTC8148FA9D,1,1,49,0,ZTE
ZTEGC4BAB8C1,1,1,50,0,ZTE
ZTEGC8EBCCE8,1,1,51,0,ZTE
HWTC779DF29E,1,1,52,0,ZTE
ZTEGC4B377DF,1,1,53,0,ZTE
ZTEGC4B394DE,1,1,54,0,ZTE
ZTEGC4B3BBD9,1,1,55,0,ZTE
ZTEGC8D5F967,1,1,56,0,ZTE
ZTEGC4BA88AB,1,1,57,0,ZTE
ZTEGC4B7CB6E,1,1,58,0,ZTE
ZTEGC4B7B723,1,1,59,0,ZTE
ZTEGC4B7CB6A,1,1,60,0,ZTE
ZTEGC8D5F95F,1,1,61,0,ZTE
ZTEGC4B7B503,1,1,62,0,ZTE
ZTEGC4B7CB6C,1,1,63,0,ZTE
ZTEGC4B7BD68,1,1,64,0,ZTE
ZTEGC4BABD77,1,1,65,0,ZTE
ZTEGC4BAE09A,1,1,66,0,ZTE
ZTEGC4BAE09F,1,1,67,0,ZTE
ZTEGC8D5E65F,1,1,68,0,ZTE
ZTEGC8D5F931,1,1,69,0,ZTE
ZTEGC8D5F468,1,1,70,0,ZTE
ZTEGC8D5F4A9,1,1,71,0,ZTE
ZTEGC8D5F9DE,1,1,72,0,ZTE
ZTEGC4B7B5E8,1,1,73,0,ZTE
